rn,skillscoremean_X1,skillscoremean_X2,skillscoremean_X3,skillscoremean_total,absrelmean_X1,absrelmean_X2,absrelmean_X3,absrelmean_total,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,h_X_1_2_3,comp_time,true_model,fitted_model,variables,notes,X_dim,X_GenHyp,beta.scale,rho,lambda,omega,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
Gaussian,0.491920255248162,0.512768172491919,0.588403872921887,0.531030766887322,0.303806747243643,0.346625449515165,0.677406754663865,0.442612983807557,0.362314913335864,0.348448627911865,0.280480103424764,0.330414548224164,0.402588803350962,0.368270394295545,0.346701164179479,0.37370056243632,,,,,,,,4.38699999999972,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0,1,0.5,0.1,2000,100,1,1000,1235,hOdxc,2019-01-18T15:40:32.218210Z
copula,0.295187296217917,0.301474383727761,0.37420381623646,0.323621832060713,0.609386524083091,0.457305777947877,0.83188876163246,0.632860354554476,0.502606443824186,0.499557456655096,0.426445650960921,0.476203183813401,0.481749685192669,0.521110183914917,0.444525274165486,0.48314301793712,,,,,,,,11.3249999999998,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0,1,0.5,0.1,2000,100,1,1000,1235,hOdxc,2019-01-18T15:40:32.218210Z
empirical_sigma.01,0.823416170561792,0.84824607736533,0.798223986729573,0.823295411552232,0.0639217985505458,0.0547275839381809,0.053999961595737,0.0575497813614879,0.272045950344579,0.217854275424776,0.272638327196395,0.25417951765525,0.490596203394851,0.30976680209307,0.517581448232957,0.448134302495615,0.1,0.1,0.1,0.1,0.1,0.1,,3.527,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0,1,0.5,0.1,2000,100,1,1000,1235,p0jX8,2019-01-18T15:40:32.182037Z
empirical_AIC_each_k,0.697065813261106,0.675002602174049,0.668714023171091,0.680260812868749,0.105511041233057,0.172140139926438,0.104762562065362,0.127471247741619,0.466701956716162,0.466558434794189,0.447631277287682,0.460297222932678,0.848081953395093,0.603614243723828,0.720587606536362,0.728551021442545,0.0103886845507348,0.0103886845507348,0.0103886845507348,0.0472533867075925,0.0472533867075925,0.0472533867075925,,3305.144,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0,1,0.5,0.1,2000,100,1,1000,1235,p0jX8,2019-01-18T15:40:32.182037Z
empirical_AIC_full,0.661202508996723,0.645469278421097,0.634639872828908,0.647103886748909,0.108708436256205,0.181585435151987,0.105123135726692,0.131805669044962,0.521953146602239,0.508955762885494,0.493672029106287,0.508193646198007,1.07754201369887,0.646891847390765,0.847820479560302,0.87242838479349,0.0197098257859584,0.00961836540758549,0.0084502954601504,0.0504949412304014,0.0417243069920343,0.0494409578152227,,3455.106,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0,1,0.5,0.1,2000,100,1,1000,1235,p0jX8,2019-01-18T15:40:32.182037Z
empirical_independence,0,0,0,0,0.508739442748271,0.57843986360681,0.65611450845202,0.581097938269034,1.540605112088,1.43557590896174,1.35119295290564,1.44245799131846,1.22861160277758,1.41768373494831,1.11559795884452,1.25831591703473,Inf,Inf,Inf,Inf,Inf,Inf,Inf,5.46100000000024,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0,1,0.5,0.1,2000,100,1,1000,1235,p0jX8,2019-01-18T15:40:32.182037Z
Gaussian,0.932568137964418,0.919701862168262,0.942673334505365,0.931647778212682,0.0232418963393905,0.0447966854271556,0.0248497191535257,0.0309627669733573,0.103885871369631,0.115274072205732,0.0774593864299291,0.098873110001764,0.111832491082662,0.106938349398161,0.0636937955610394,0.0975826396360243,,,,,,,,4.23499999999967,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0,1,0.5,0.1,2000,100,1,1000,1235,p0jX8,2019-01-18T15:40:32.182037Z
copula,0.86651059752567,0.865659318105486,0.848522430271446,0.860230781967534,0.04839785705691,0.0822441549733634,0.0723915020806775,0.0676778380369836,0.205654455861526,0.192856246521257,0.204675424740494,0.201062042374426,0.277930155436262,0.200931846076832,0.248371200251049,0.243727630995089,,,,,,,,10.3900000000003,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0,1,0.5,0.1,2000,100,1,1000,1235,p0jX8,2019-01-18T15:40:32.182037Z
empirical_sigma.01,0.83247143987038,0.833331996966437,0.835820977965444,0.833874804934087,0.0870317452079417,0.0731085981052033,0.0586905073194289,0.0729436168775246,0.217620929348358,0.207030941610374,0.19035340338408,0.205001758114271,0.409701131976197,0.357050134956851,0.35864141792248,0.374836322629091,0.1,0.1,0.1,0.1,0.1,0.1,,3.454,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1235,XKhVB,2019-01-18T15:40:32.179667Z
empirical_AIC_each_k,0.667493083032938,0.63499147429802,0.633266339530158,0.645250298953705,0.217180325342217,0.186104368491831,0.17575197449117,0.193012222775073,0.431929124378212,0.453404717141046,0.425200488715561,0.436844776744939,0.855435754578371,0.842117536032118,0.620057972984818,0.777523748710431,0.0123902030020221,0.0123902030020221,0.0123902030020221,0.0626361213731983,0.0626361213731983,0.0626361213731983,,3378.9,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1235,XKhVB,2019-01-18T15:40:32.179667Z
empirical_AIC_full,0.655939977378608,0.60801605318539,0.631505623367232,0.63182055131041,0.216340664266009,0.199607003488083,0.170897275470413,0.195614981074835,0.446936700324724,0.486912929465156,0.427241908562341,0.45369717945074,0.872204773383911,0.890278297701024,0.618282083715419,0.800940527211511,0.0134543296982603,0.0087537895848256,0.0148287886937812,0.0588652837634444,0.0717904248826454,0.0559545123266271,,3432.559,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1235,XKhVB,2019-01-18T15:40:32.179667Z
empirical_independence,0,0,0,0,0.815668405827897,0.596311330090454,0.558201139174983,0.656726958364444,1.29900793739277,1.24217568964742,1.15942585736693,1.23353649480237,1.12194574836224,1.28533776583278,1.038525569519,1.15073779113822,Inf,Inf,Inf,Inf,Inf,Inf,Inf,4.97500000000036,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1235,XKhVB,2019-01-18T15:40:32.179667Z
Gaussian,0.860111840409882,0.856734042516805,0.879478507176765,0.865441463367817,0.0672691815689475,0.0698959938914528,0.043571990782663,0.0602457220810211,0.181715829654829,0.177961489539686,0.139735735147722,0.166471018114079,0.30149169670707,0.222169743110765,0.2082070951981,0.247293019882875,,,,,,,,4.43499999999949,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1235,XKhVB,2019-01-18T15:40:32.179667Z
copula,0.721219896745708,0.719132698211191,0.728586220009725,0.722979604988875,0.155168737268488,0.142651388988962,0.0956083802673859,0.131142835508279,0.362137566914501,0.348886534298924,0.314684154566425,0.341902751926617,0.441357351839638,0.381644920469587,0.384666606879913,0.402638643617799,,,,,,,,10.4870000000001,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1235,XKhVB,2019-01-18T15:40:32.179667Z
empirical_sigma.01,0.567068700453985,0.521077421804863,0.430109747966557,0.506085290075135,0.136144419602047,0.261171072638826,0.513466497830289,0.303593996690387,0.167028415168626,0.174828452124624,0.201158555438341,0.18100514091053,0.186197206484935,0.197230294886928,0.237466831265669,0.207952069093608,0.1,0.1,0.1,0.1,0.1,0.1,,5.24800000000005,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1236,6IQjd,2019-01-18T16:47:02.002215Z
empirical_AIC_each_k,0.529027471931776,0.464149526659731,0.365158186727361,0.452778395106289,0.141652116643845,0.257057124587495,0.569033109648199,0.322580783626513,0.181705030414036,0.195609714575109,0.22408500870846,0.200466584565868,0.208334194326656,0.224521463821464,0.271608915302079,0.236220234735134,0.093967822746557,0.093967822746557,0.093967822746557,0.0817161222202403,0.0817161222202403,0.0817161222202403,,1951.898,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1236,6IQjd,2019-01-18T16:47:02.002215Z
empirical_AIC_full,0.546232699250147,0.453330030479151,0.365735259299306,0.455099329676201,0.135008666952856,0.285738261601962,0.57406647457718,0.331604467710666,0.175067113833237,0.199559321163188,0.223881314954196,0.199502583316873,0.204347585721212,0.237007752078762,0.262370706782614,0.235831075871249,0.125010897296645,0.0617581648920444,0.131107822998964,0.0813461370384316,0.0796706372741351,0.0842179801678273,,2433.857,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1236,6IQjd,2019-01-18T16:47:02.002215Z
empirical_independence,0,0,0,0,0.241916178839563,0.673401891413654,0.651611720001772,0.522309930084996,0.38580813016702,0.365045333179907,0.352977708814251,0.367943724053726,0.463454331593073,0.336921328354652,0.348656499076584,0.386182802848392,Inf,Inf,Inf,Inf,Inf,Inf,Inf,5.05899999999929,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1236,6IQjd,2019-01-18T16:47:02.002215Z
Gaussian,0.233479941785751,0.204295602707465,0.310591676087616,0.249455740193611,0.189035789478649,0.572458818592329,0.560810369775843,0.44076832594894,0.295729670395154,0.29046817682237,0.243345770612066,0.27651453927653,0.376888466546106,0.216318418619954,0.214082213622751,0.279743769186678,,,,,,,,4.29099999999926,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1236,6IQjd,2019-01-18T16:47:02.002215Z
copula,0.155731050815326,0.12028440333021,0.15599253098991,0.144002661711815,0.211929877859514,0.590958491074114,0.674698032534986,0.492528800489538,0.325725824643014,0.321136073089884,0.297915822633296,0.314925906788731,0.400505647289326,0.253570252630703,0.231763285636677,0.303864323370511,,,,,,,,9.99700000000121,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1236,6IQjd,2019-01-18T16:47:02.002215Z
empirical_sigma.01,0.740150997311697,0.676854797262754,0.751343747185389,0.722783180586614,0.197177621487675,0.192076265595347,0.201432833144503,0.196895573409175,0.197860051136737,0.210889776648092,0.179245426748699,0.195998418177843,0.355002105289093,0.329380631047199,0.209243316074325,0.303834872280398,0.1,0.1,0.1,0.1,0.1,0.1,,6.16400000000067,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0,1,0.5,0.1,2000,100,1,1000,1236,HWxAn,2019-01-18T17:14:39.404137Z
empirical_AIC_each_k,0.637888335134849,0.50157914146908,0.585407185847541,0.574958220817157,0.251000395467809,0.325931938902467,0.308499890268235,0.295144074879504,0.275727179193261,0.32527749953263,0.298861842638268,0.299955507121386,0.416024930820791,0.441466029387541,0.29603200073499,0.388925849243144,0.0272471332378548,0.0272471332378548,0.0272471332378548,0.0795178583115831,0.0795178583115831,0.0795178583115831,,3184.15,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0,1,0.5,0.1,2000,100,1,1000,1236,HWxAn,2019-01-18T17:14:39.404137Z
empirical_AIC_full,0.662992005693054,0.526298040343257,0.62465688667736,0.604648977571224,0.24568735404493,0.316483612572905,0.309108271178919,0.290426412598918,0.256612179755205,0.309145547028292,0.270568448463117,0.278775391748871,0.374126115733094,0.423999712654464,0.276422481135279,0.362855107187684,0.210772618678538,0.0272660848691999,0.035115443559886,0.080174800813108,0.0785278225291662,0.0788237463744931,,2571.387,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0,1,0.5,0.1,2000,100,1,1000,1236,HWxAn,2019-01-18T17:14:39.404137Z
empirical_independence,0,0,0,0,0.434499912354095,0.83492484410112,0.445723054494228,0.571715936983147,0.761442411130116,0.652616145502769,0.720856301499636,0.711638286044174,0.858688117539814,0.591839370746942,0.693129299979361,0.721948291331091,Inf,Inf,Inf,Inf,Inf,Inf,Inf,7.33699999999953,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0,1,0.5,0.1,2000,100,1,1000,1236,HWxAn,2019-01-18T17:14:39.404137Z
Gaussian,0.540271275314324,0.520618797032825,0.637514442703552,0.566134838350234,0.242803126927302,0.478032113864262,0.170182910116378,0.297006050302647,0.350056948590434,0.312851912906918,0.261299998179752,0.308069619892368,0.445783449748419,0.267369341172123,0.267454724554537,0.338349856133007,,,,,,,,6.07800000000134,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0,1,0.5,0.1,2000,100,1,1000,1236,HWxAn,2019-01-18T17:14:39.404137Z
copula,0.360785345554155,0.30761596956875,0.398715992413415,0.355705769178773,0.334601779873604,0.660316552773307,0.298868079321956,0.431262137322956,0.486725147710948,0.451860997147714,0.433439365859745,0.457341836906136,0.555320367893372,0.358557278205641,0.341338276725561,0.428650382625917,,,,,,,,12.6059999999998,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0,1,0.5,0.1,2000,100,1,1000,1236,HWxAn,2019-01-18T17:14:39.404137Z
empirical_sigma.01,0.569122020769381,0.420850645596138,0.521649607589728,0.503874091318416,0.196199735590749,0.171958935429503,0.23163044082618,0.199929703948811,0.151169354050028,0.18148640776614,0.159839805147673,0.164165188987947,0.174504760380403,0.222868913710268,0.23949629202633,0.213737057461327,0.1,0.1,0.1,0.1,0.1,0.1,,6.06899999999951,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1237,1V5qC,2019-01-18T18:00:43.274855Z
empirical_AIC_each_k,0.620810791445925,0.492713644831609,0.56662867067083,0.560051035649455,0.150213567202276,0.139736167724659,0.2123513878904,0.167433707605779,0.133034850892625,0.158966901384282,0.144810143224783,0.14560396516723,0.147041050752839,0.213009192170511,0.218702266360265,0.195273243118566,0.157373748654501,0.157373748654501,0.157373748654501,0.104658765950097,0.104658765950097,0.104658765950097,,1846.848,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1237,1V5qC,2019-01-18T18:00:43.274855Z
empirical_AIC_full,0.638812322565604,0.46596400967958,0.474666203742133,0.526480845329106,0.158862564807217,0.132893256843441,0.256969354531645,0.182908392060768,0.126719188541691,0.167349359477141,0.175539213437764,0.156535920485532,0.139913335831022,0.229642257726941,0.259645519141614,0.216151289269751,0.141527790548735,0.228585218233959,0.0639059607857706,0.0802912851194489,0.092805822950383,0.138665747357358,,2336.596,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1237,1V5qC,2019-01-18T18:00:43.274855Z
empirical_independence,0,0,0,0,0.262971429184559,0.235025857737865,0.417496009538249,0.305164432153558,0.350840287359215,0.313367193429663,0.334147954478067,0.332785145088982,0.450526597235787,0.35322115766552,0.326874318097665,0.379643055785767,Inf,Inf,Inf,Inf,Inf,Inf,Inf,5.73899999999958,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1237,1V5qC,2019-01-18T18:00:43.274855Z
Gaussian,0.266309562185061,0.172577541433484,0.187657126857532,0.208848076825359,0.361269049781948,0.187575767877403,0.446042157850494,0.331628991836615,0.257408164035701,0.259287053621661,0.271442709395391,0.262712642350918,0.287591036014102,0.287863918152345,0.252361959800264,0.275586499153334,,,,,,,,5.50200000000041,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1237,1V5qC,2019-01-18T18:00:43.274855Z
copula,0.131873317931088,0.0864934558916513,0.0767437022461371,0.0983701586896255,0.365621364978893,0.221308602579981,0.498337498630107,0.361755822062994,0.304573814601259,0.286262981906864,0.308504203353446,0.29978033328719,0.321039720235206,0.297123991402139,0.298860383076042,0.304998400127444,,,,,,,,13.2810000000009,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1237,1V5qC,2019-01-18T18:00:43.274855Z
empirical_sigma.01,0.838865001958727,0.83090738595087,0.85250047678731,0.840757621565635,0.119422901851025,0.380170988934852,0.291944461732866,0.263846117506247,0.222431726760298,0.192946267518973,0.187291313810847,0.200889769363373,0.266331774177781,0.177027355029996,0.277179520928752,0.244005633796103,0.1,0.1,0.1,0.1,0.1,0.1,,5.50799999999981,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1236,qf7aC,2019-01-18T17:34:36.624632Z
empirical_AIC_each_k,0.710632779400878,0.577416948196121,0.705374394676858,0.664474707424619,0.215321006109805,0.710254233170905,1.32300290984415,0.749526049708287,0.399444263059503,0.482196239148829,0.374108441175896,0.418582981128076,0.481260330939585,0.738072809572011,0.486337791021681,0.580954546347801,0.0111088523347966,0.0111088523347966,0.0111088523347966,0.0656291353028665,0.0656291353028665,0.0656291353028665,,2791.508,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1236,qf7aC,2019-01-18T17:34:36.624632Z
empirical_AIC_full,0.688196989279152,0.509673591950882,0.725506575469444,0.641125718899826,0.204894103343448,0.389740218689003,0.793505701976128,0.462713341336193,0.430414763563241,0.559496053870064,0.348545086743327,0.446151968058877,0.53878431248131,0.844580084147058,0.552048279068201,0.663904380089354,0.0106967560433775,0.00748550565146075,0.0389877138321586,0.0682661491109131,0.058118394105468,0.0725845589076819,,3031.75,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1236,qf7aC,2019-01-18T17:34:36.624632Z
empirical_independence,0,0,0,0,0.677533831289575,2.27810020408388,0.775781411491679,1.24380514895504,1.38040605370736,1.14106857123228,1.26977572355118,1.26375011616361,1.40530058933328,0.927211721069308,1.0673275886713,1.15122987684771,Inf,Inf,Inf,Inf,Inf,Inf,Inf,8.33499999999913,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1236,qf7aC,2019-01-18T17:34:36.624632Z
Gaussian,0.840624745554342,0.828079172969275,0.896406718079635,0.855036878867751,0.135748256082238,0.477502310295726,0.150458465911508,0.254569677429824,0.220002566047937,0.196173452465021,0.131540234505472,0.182572084339477,0.173658526615217,0.13535136959776,0.138059313523344,0.154153815520621,,,,,,,,4.82200000000012,Linear,Linear,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1236,qf7aC,2019-01-18T17:34:36.624632Z
